,row_num,gene_symbol
890,10542,KALRN
891,10586,S100B
892,10605,RDH13
893,10609,SPTBN4
894,10610,BRSK1
895,10631,SHC1
896,10637,CHRNB2
897,10668,IER2
898,10705,DVL3
899,10713,NPHS1
900,10753,SHANK1
901,10759,RACGAP1
902,10799,TBC1D24
903,10801,NTN3
904,10808,SHANK2
905,10833,TAL1
906,10883,WNT4
907,10886,MXRA8
908,10905,LHX8
909,10908,NTNG1
910,10920,GFI1
911,10950,LMX1A
912,10992,PEX13
913,10996,DISC1
914,11009,NEUROD1
915,11031,EN1
916,11045,PDLIM5
917,11062,ERCC3
918,11077,S100A9
919,11082,FZD5
920,11091,GABRB1
921,11092,PAQR3
922,11106,HIPK1
923,11122,CCKAR
924,11137,TRIM46
925,11151,FEV
926,11153,IHH
927,11155,EOMES
928,11161,HDAC11
929,11169,NFASC
930,11172,SERPINI1
931,11176,SPTA1
932,11177,PRKCI
933,11201,NKX6-1
934,11217,CLRN1
935,11232,APBB2
936,11256,RYK
937,11260,UCN
938,11293,KLF15
939,11300,HEYL
940,11346,PLXNB1
941,11369,PITX2
942,11373,HMGB2
943,11376,HAND2
944,11397,HHIP
945,11414,NIPBL
946,11445,CASP3
947,11455,PAPD4
948,11465,TERT
949,11477,UQCRQ
950,11483,FABP7
951,11484,TLX3
952,11504,TBX20
953,11505,DAGLB
954,11513,HCN1
955,11544,SHH
956,11558,ADCY1
957,11570,EN2
958,11581,SUN1
959,11591,MICALL2
960,11594,CDK5
961,11609,CTHRC1
962,11647,TMC1
963,11687,ATP7A
964,11700,SLITRK5
965,11714,LRFN5
966,11716,ZNF488
967,11731,PHOX2A
968,11765,OTX2
969,11796,FRMD7
970,11799,TSC1
971,11801,HPRT1
972,11806,RET
973,11827,METTL3
974,11859,CLMN
975,11876,ABTB2
976,11887,JAM3
977,11904,SPINT1
978,11917,BAG5
979,11927,COPS2
980,11928,GABRB3
981,11932,FRS2
982,11953,APBB1
983,11959,ILK
984,11962,DCHS1
985,12007,WEE1
986,12008,MAPK7
987,12032,NDEL1
988,12054,B2M
989,12066,C16orf45
990,12082,MESP1
991,12102,NAB2
992,12108,STX3
993,12131,MAP1A
994,12151,PBX3
995,12157,SAMD14
996,12179,ISLR2
997,12183,GPRC5B
998,12238,RAB8A
999,12274,AXL
1000,12285,TRAPPC9
1001,12296,ATCAY
1002,12298,DAPK3
1003,12299,EEF2
1004,12321,CYB5D2
1005,12323,NTF4
1006,12329,KLK6
1007,12412,CTNNB1
1008,12413,ULK4
1009,12447,HOOK3
1010,12449,DDIT4
1011,12450,RBPJ
1012,12465,PTF1A
1013,12471,KIF5C
1014,12486,CX3CR1
1015,12507,RHOH
1016,12528,GBX2
1017,12537,COL3A1
1018,12538,GFRA2
1019,12549,STAT3
1020,12554,GDNF
1021,12579,SEMA4C
1022,12585,SHOX2
1023,12607,SOX14
1024,12631,CEP120
1025,12651,MAP2K1
1026,12656,MECP2
1027,12661,ROR2
1028,12676,ATF5
1029,12677,UBE2V2
1030,12682,PCSK9
1031,12697,RGS14
1032,12706,EFNA1
1033,12709,SH3TC2
1034,12716,GPRIN1
1035,12724,IL1RAPL1
1036,12725,P2RY12
1037,12741,PTK2
1038,12744,PTPN9
1039,12752,SDC2
1040,12764,GPR183
1041,12771,ZEB2
1042,12816,RAC3
1043,12820,NLGN1
1044,12825,LINGO1
1045,12834,GSX1
1046,12837,ROBO1
1047,12840,P2RY1
1048,12842,CTNND2
1049,12846,WNT10B
1050,12882,ALCAM
1051,12883,YWHAG
1052,12891,GPR37L1
1053,12947,CDK1
1054,12948,UBB
1055,12953,B3GNT2
1056,12961,EMX2
1057,12965,SEMA3E
1058,12966,LRRN2
1059,12968,DCLK2
1060,12969,ZNF804A
1061,13012,CDH2
1062,13051,KIF5B
1063,13056,OR10A4
1064,13118,S1PR1
1065,13126,FPR2
1066,13130,FEZ2
1067,13135,ALK
1068,13145,NRTN
1069,13184,NPTX1
1070,13222,CDK5R2
1071,13251,LPAR3
1072,13254,NEUROD2
1073,13255,MAP6
1074,13256,OTP
1075,13266,DSCAM
1076,13272,PIK3CD
1077,13275,ENC1
1078,13308,BCL2
1079,13312,KNDC1
1080,13333,PTEN
1081,13356,FOXB1
1082,13373,GAP43
1083,13376,LAMB2
1084,13413,ID4
1085,13417,CEBPB
1086,13418,AZU1
1087,13420,ATOH1
1088,13426,NEGR1
1089,13515,RND1
1090,13543,CFL1
1091,13565,SSH3
1092,13605,RELA
1093,13619,LRRN3
1094,13629,RAPH1
1095,13676,NDNF
1096,13680,DAG1
1097,13681,INSM1
1098,13682,DAB1
1099,13699,PTPRM
1100,13709,CSPG4
1101,13728,LRFN4
1102,13756,CNP
1103,13758,HAP1
1104,13779,SPTBN2
1105,13840,ADCY6
1106,13842,PITPNA
1107,13845,ZNHIT2
1108,13868,LIG4
1109,13884,CNTNAP2
1110,13886,LINGO2
1111,13912,UGT8
1112,13919,BRSK2
1113,13925,LEP
1114,13936,HRAS
1115,13944,FZD4
1116,13985,FBXW8
1117,14054,LSM1
1118,14059,CHRNA7
1119,14084,CLCF1
1120,14093,CABP4
1121,14130,NR2F1
1122,14155,BAIAP2
1123,14171,LRRN1
1124,14176,UNC119B
1125,14219,BNIP3
1126,14241,ANAPC2
1127,14279,RIMS2
1128,14327,BDNF
1129,14332,BOK
1130,14341,CDK5R1
1131,14361,IRX5
1132,14370,GRIN1
1133,14371,SOX11
1134,14426,DSCAML1
1135,14427,RHOG
1136,14440,ULK1
1137,14465,FZD8
1138,14511,OLIG3
1139,14520,IRX3
1140,14541,JUN
1141,14545,GBA
1142,14586,KCNJ10
1143,14599,GRB2
1144,14671,SLITRK1
1145,14695,NEUROG2
1146,14723,ERBB4
1147,14754,GP5
1148,14761,ZHX2
1149,14796,GAK
1150,14863,CALR
1151,14868,CDH4
1152,14879,PTPN11
1153,14889,GATA2
1154,14924,SLITRK4
1155,14988,NRXN1
1156,15041,TH
1157,15050,F2
1158,15075,FZD2
1159,15123,GSX2
1160,15146,S1PR5
1161,15149,GPR157
1162,15167,HOXC10
1163,15169,BHLHE22
1164,15170,MAP6D1
1165,15184,SCRIB
1166,15244,PENK
1167,15323,PLAG1
1168,15335,AMIGO1
1169,15345,SIAH2
1170,15383,NEUROG1
1171,15397,USH1G
1172,15401,IDH2
1173,15419,IST1
1174,15426,UNC5C
1175,15429,RGMA
1176,15438,EXT1
1177,15440,MOB2
1178,15514,FES
1179,15533,CSF1R
1180,15534,EPHB3
1181,15542,TRAK1
1182,15552,NDN
1183,15557,NTM
1184,15562,GALR2
1185,15565,TSKU
1186,15630,SOX1
1187,15650,PCP4
1188,15654,CAMK1D
1189,15660,NKX2-5
1190,15663,GAS6
1191,15752,GRIN2A
1192,15805,RP1L1
1193,15828,NOG
1194,15834,OPCML
1195,15841,ASCL2
1196,15869,CCR4
1197,15890,FOXD1
1198,15891,LRRC55
1199,15914,DENND5A
1200,15939,CNTN2
1201,15941,LRTOMT
1202,15944,ADRA2C
1203,15953,GPR173
1204,15963,OLIG1
1205,15983,PRKD1
1206,15994,SLIT3
1207,15996,EFNA5
1208,16003,CSF1
1209,16012,SS18L1
1210,16030,POU3F2
1211,16042,CEND1
1212,16049,SLITRK6
1213,16069,MED12
1214,16086,EIF4ENIF1
1215,16117,DRD1
1216,16126,BTBD6
1217,16137,JAG2
1218,16175,SEMA4B
1219,16180,CIB1
1220,16191,FLRT2
1221,16210,INPP5J
1222,16224,NRBP2
1223,16296,ROR1
1224,16309,PRKG1
1225,16310,NR2F2
1226,16315,AHNAK2
1227,16329,PBX1
1228,16338,NTF3
1229,16343,POU3F1
1230,16355,C16orf52
1231,16414,RTN4RL1
1232,16423,IRS2
1233,16435,SLITRK2
1234,16468,LRRC70
1235,16523,GABRA5
1236,16524,PPP1CC
1237,16554,GLDN
1238,16566,NAP1L2
1239,16577,MYT1L
1240,16598,NF2
1241,16632,FSCN2
1242,16660,PDZD7
1243,16663,MAPT
1244,16671,RTN4RL2
1245,16719,CCK
1246,16727,SLIT1
1247,16767,DCC
1248,16770,MAGI2
1249,16795,IFT140
1250,16838,TRPV2
1251,16855,SECISBP2
1252,16862,SEMA4D
1253,16917,DNER
1254,16944,NRN1L
1255,16951,WNT7B
1256,17066,COL25A1
1257,17089,NANOS1
1258,17125,OSTN
1259,17126,VWC2
1260,17136,FZD9
1261,17142,SKOR1
1262,17144,PRELP
1263,17220,RELN
1264,17222,APOD
1265,17235,BLOC1S3
1266,17325,BLOC1S2
1267,17361,FAT4
1268,17374,SEMA4A
1269,17410,NIF3L1
1270,17426,NLGN3
1271,17435,NTNG2
1272,17459,EVL
1273,17489,SIAH1
1274,17523,LAMA2
1275,17528,XRCC2
1276,17532,HDAC2
1277,17542,TCF4
1278,17575,NF1
1279,17591,POU3F4
1280,17637,FLNA
1281,17652,AP2A1
1282,17712,SRC
